status,filepath,size_bytes,n_trees,tree_names
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/18th_test_run/events_6765.root,44283,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/18th_test_run/events_6994.root,42284,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/18th_test_run/events_7267.root,40005,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/18th_test_run/events_7311.root,44062,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/18th_test_run/events_6738.root,44043,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/18th_test_run/events_7097.root,43937,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/18th_test_run/events_7160.root,41859,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/18th_test_run/events_7055.root,41973,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/18th_test_run/events_6998.root,43186,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/18th_test_run/events_7299.root,45871,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/18th_test_run/events_7050.root,42195,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/18th_test_run/events_7147.root,43556,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/18th_test_run/events_6820.root,43091,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/18th_test_run/events_7015.root,43279,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/18th_test_run/events_6901.root,41582,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/18th_test_run/events_6990.root,43638,4,h100;h3;h1;h50
